x	y	z
-252963.290786	-300947.760376	20708.125863
-252963.290786	-286072.503748	20512.973706
-252963.290786	-271197.24712	20503.270626
-252963.290786	-256321.990492	20493.520918
-252963.290786	-241446.733864	20486.561573
-252963.290786	-226571.477236	20548.887066
-252963.290786	-211696.220608	20767.620806
-252963.290786	-196820.96398	20771.401417
-252963.290786	-181945.707353	20787.666886
-252963.290786	-167070.450725	20774.619416
-252963.290786	-152195.194097	20777.760722
-252963.290786	-137319.937469	20787.346004
-252963.290786	-122444.680841	20777.272041
-252963.290786	-107569.424213	20782.707668
-252963.290786	-92694.167585	20780.308126
-252963.290786	-77818.910957	20771.573207
-252963.290786	-62943.654329	20770.065135
-252963.290786	-48068.397701	20757.97049
-252963.290786	-33193.141073	20489.748584
-252963.290786	-18317.884445	20475.295198
-252963.290786	-3442.627817	20463.532787
-252963.290786	11432.628811	20462.386393
-252963.290786	26307.885438	20467.341004
-252963.290786	41183.142066	20723.357214
-252963.290786	56058.398694	20770.20502
-252963.290786	70933.655322	20771.270734
-252963.290786	85808.91195	20766.301088
-252963.290786	100684.168578	20762.775707
-252963.290786	115559.425206	20761.253217
-252963.290786	130434.681834	20759.451566
-252963.290786	145309.938462	20750.444237
-252963.290786	160185.19509	20762.440103
-252963.290786	175060.451718	20774.962996
-252963.290786	189935.708346	20772.823594
-252963.290786	204810.964974	20775.55015
-252963.290786	219686.221602	20620.5831
-252963.290786	234561.47823	20449.848777
-252963.290786	249436.734857	20434.805475
-252963.290786	264311.991485	20437.713638
-252963.290786	279187.248113	20461.536643
-252963.290786	294062.504741	20596.473569
-238281.831414	-211696.220608	20777.197495
-238281.831414	-196820.96398	20784.023091
-238281.831414	-181945.707353	20791.297792
-238281.831414	-167070.450725	20797.403095
-238281.831414	-152195.194097	20785.425021
-238281.831414	-137319.937469	20786.073529
-238281.831414	-122444.680841	20778.162589
-238281.831414	-107569.424213	20778.993931
-238281.831414	-92694.167585	20780.942522
-238281.831414	-77818.910957	20788.622774
-238281.831414	-62943.654329	20774.977721
-238281.831414	-48068.397701	20777.706117
-238281.831414	41183.142066	20700.185167
-238281.831414	56058.398694	20770.285394
-238281.831414	70933.655322	20765.966097
-238281.831414	85808.91195	20773.510755
-238281.831414	100684.168578	20775.67838
-238281.831414	115559.425206	20762.913753
-238281.831414	130434.681834	20755.940911
-238281.831414	145309.938462	20769.054026
-238281.831414	160185.19509	20768.784683
-238281.831414	175060.451718	20766.550184
-238281.831414	189935.708346	20779.543047
-238281.831414	204810.964974	20793.06171
-238281.831414	294062.504741	20443.36799
-223600.372042	-211696.220608	20782.970875
-223600.372042	-196820.96398	20788.592096
-223600.372042	-181945.707353	20791.842614
-223600.372042	-167070.450725	20794.837284
-223600.372042	-152195.194097	20795.876002
-223600.372042	-137319.937469	20779.119706
-223600.372042	-122444.680841	20788.462642
-223600.372042	-107569.424213	20792.98195
-223600.372042	-92694.167585	20801.784972
-223600.372042	-77818.910957	20792.885013
-223600.372042	-62943.654329	20793.757461
-223600.372042	-48068.397701	20787.170533
-223600.372042	41183.142066	20699.328057
-223600.372042	56058.398694	20770.797697
-223600.372042	70933.655322	20772.875745
-223600.372042	85808.91195	20780.613667
-223600.372042	100684.168578	20783.183159
-223600.372042	115559.425206	20798.922825
-223600.372042	130434.681834	20785.180833
-223600.372042	145309.938462	20794.966128
-223600.372042	160185.19509	20776.117059
-223600.372042	175060.451718	20773.550022
-223600.372042	189935.708346	20773.555543
-223600.372042	204810.964974	20775.698013
-223600.372042	294062.504741	20449.980071
-208918.91267	-211696.220608	20785.396184
-208918.91267	-196820.96398	20795.406034
-208918.91267	-181945.707353	20783.291141
-208918.91267	-167070.450725	20789.936969
-208918.91267	-152195.194097	20796.176021
-208918.91267	-137319.937469	20807.409875
-208918.91267	-122444.680841	20797.731336
-208918.91267	-107569.424213	20799.045531
-208918.91267	-92694.167585	20801.27451
-208918.91267	-77818.910957	20804.595584
-208918.91267	-62943.654329	20804.931188
-208918.91267	-48068.397701	20785.225007
-208918.91267	41183.142066	20730.629462
-208918.91267	56058.398694	20810.89967
-208918.91267	70933.655322	20803.261754
-208918.91267	85808.91195	20793.834153
-208918.91267	100684.168578	20806.644182
-208918.91267	115559.425206	20809.764628
-208918.91267	130434.681834	20805.535521
-208918.91267	145309.938462	20821.322427
-208918.91267	160185.19509	20803.068491
-208918.91267	175060.451718	20816.134364
-208918.91267	189935.708346	20827.770084
-208918.91267	204810.964974	20801.910135
-208918.91267	294062.504741	20496.064638
-194237.453299	-300947.760376	20885.333922
-194237.453299	-286072.503748	20798.885399
-194237.453299	-271197.24712	20816.398798
-194237.453299	-256321.990492	20795.650834
-194237.453299	-241446.733864	20799.53636
-194237.453299	-226571.477236	20803.85259
-194237.453299	-211696.220608	20811.718742
-194237.453299	-196820.96398	20822.054377
-194237.453299	-181945.707353	20807.373676
-194237.453299	-167070.450725	20803.404094
-194237.453299	-152195.194097	20809.57934
-194237.453299	-137319.937469	20815.486468
-194237.453299	-122444.680841	20819.755457
-194237.453299	-107569.424213	20818.910004
-194237.453299	-92694.167585	20825.282805
-194237.453299	-77818.910957	20819.81313
-194237.453299	-62943.654329	20812.975877
-194237.453299	-48068.397701	20817.095775
-194237.453299	-33193.141073	20799.049211
-194237.453299	-18317.884445	20787.874873
-194237.453299	-3442.627817	20801.962899
-194237.453299	11432.628811	20788.791496
-194237.453299	26307.885438	20792.146927
-194237.453299	41183.142066	20812.711441
-194237.453299	56058.398694	20814.384558
-194237.453299	70933.655322	20811.233434
-194237.453299	85808.91195	20821.853137
-194237.453299	100684.168578	20817.803798
-194237.453299	115559.425206	20812.414491
-194237.453299	130434.681834	20807.568782
-194237.453299	145309.938462	20845.145437
-194237.453299	160185.19509	20869.471547
-194237.453299	175060.451718	20850.698555
-194237.453299	189935.708346	20817.898896
-194237.453299	204810.964974	20821.131618
-194237.453299	219686.221602	20811.27086
-194237.453299	234561.47823	20811.216256
-194237.453299	249436.734857	20816.852815
-194237.453299	264311.991485	20818.927182
-194237.453299	279187.248113	20810.064647
-194237.453299	294062.504741	20823.531773
-179555.993927	-300947.760376	20901.815353
-179555.993927	-286072.503748	20821.767858
-179555.993927	-271197.24712	20841.960568
-179555.993927	-256321.990492	20831.297305
-179555.993927	-241446.733864	20831.880165
-179555.993927	-226571.477236	20836.479848
-179555.993927	-211696.220608	20828.180541
-179555.993927	-196820.96398	20817.097002
-179555.993927	-181945.707353	20819.911908
-179555.993927	-167070.450725	20817.131361
-179555.993927	-152195.194097	20818.659067
-179555.993927	-137319.937469	20829.520503
-179555.993927	-122444.680841	20844.318389
-179555.993927	-107569.424213	20832.343384
-179555.993927	-92694.167585	20841.451334
-179555.993927	-77818.910957	20831.111402
-179555.993927	-62943.654329	20829.145632
-179555.993927	-48068.397701	20842.467965
-179555.993927	-33193.141073	20831.734757
-179555.993927	-18317.884445	20827.954145
-179555.993927	-3442.627817	20827.436932
-179555.993927	11432.628811	20839.337701
-179555.993927	26307.885438	20830.422402
-179555.993927	41183.142066	20835.473035
-179555.993927	56058.398694	20828.202626
-179555.993927	70933.655322	20828.493443
-179555.993927	85808.91195	20835.461377
-179555.993927	100684.168578	20823.618281
-179555.993927	115559.425206	20818.408745
-179555.993927	130434.681834	20818.738213
-179555.993927	145309.938462	20861.244022
-179555.993927	160185.19509	20908.942192
-179555.993927	175060.451718	20890.137298
-179555.993927	189935.708346	20818.770115
-179555.993927	204810.964974	20833.639787
-179555.993927	219686.221602	20844.74357
-179555.993927	234561.47823	20845.187158
-179555.993927	249436.734857	20838.175049
-179555.993927	264311.991485	20836.072459
-179555.993927	279187.248113	20848.246864
-179555.993927	294062.504741	20846.591543
-164874.534555	-300947.760376	20908.174657
-164874.534555	-286072.503748	20832.827463
-164874.534555	-271197.24712	20841.883264
-164874.534555	-256321.990492	20840.732268
-164874.534555	-241446.733864	20839.990503
-164874.534555	-226571.477236	20832.205953
-164874.534555	-211696.220608	20837.971968
-164874.534555	-196820.96398	20835.177924
-164874.534555	-181945.707353	20830.16533
-164874.534555	-167070.450725	20831.740278
-164874.534555	-152195.194097	20832.104107
-164874.534555	-137319.937469	20856.921041
-164874.534555	-122444.680841	20862.612207
-164874.534555	-107569.424213	20862.507293
-164874.534555	-92694.167585	20861.014559
-164874.534555	-77818.910957	20861.019466
-164874.534555	-62943.654329	20854.131905
-164874.534555	-48068.397701	20852.620766
-164874.534555	-33193.141073	20843.38704
-164874.534555	-18317.884445	20856.231428
-164874.534555	-3442.627817	20853.364371
-164874.534555	11432.628811	20849.319326
-164874.534555	26307.885438	20857.84687
-164874.534555	41183.142066	20852.636717
-164874.534555	56058.398694	20850.812674
-164874.534555	70933.655322	20841.147018
-164874.534555	85808.91195	20842.499868
-164874.534555	100684.168578	20835.242346
-164874.534555	115559.425206	20834.611628
-164874.534555	130434.681834	20824.305444
-164874.534555	145309.938462	20866.40509
-164874.534555	160185.19509	20844.317162
-164874.534555	175060.451718	20844.150281
-164874.534555	189935.708346	20847.371347
-164874.534555	204810.964974	20846.439999
-164874.534555	219686.221602	20842.034806
-164874.534555	234561.47823	20851.867956
-164874.534555	249436.734857	20852.999932
-164874.534555	264311.991485	20853.606718
-164874.534555	279187.248113	20855.643659
-164874.534555	294062.504741	20854.169947
-150193.075183	-300947.760376	20925.90218
-150193.075183	-286072.503748	20842.050759
-150193.075183	-271197.24712	20849.307055
-150193.075183	-256321.990492	20854.884101
-150193.075183	-241446.733864	20852.988273
-150193.075183	-226571.477236	20858.633423
-150193.075183	-211696.220608	20851.210246
-150193.075183	-196820.96398	20848.53584
-150193.075183	-181945.707353	20847.502644
-150193.075183	-167070.450725	20854.089572
-150193.075183	-152195.194097	20863.609206
-150193.075183	-137319.937469	20876.792265
-150193.075183	-122444.680841	20879.847063
-150193.075183	-107569.424213	20876.692871
-150193.075183	-92694.167585	20878.313223
-150193.075183	-77818.910957	20876.12719
-150193.075183	-62943.654329	20865.444906
-150193.075183	-48068.397701	20871.626899
-150193.075183	-33193.141073	20866.657868
-150193.075183	-18317.884445	20856.149827
-150193.075183	-3442.627817	20862.895047
-150193.075183	11432.628811	20860.493665
-150193.075183	26307.885438	20861.611529
-150193.075183	41183.142066	20858.728521
-150193.075183	56058.398694	20852.822618
-150193.075183	70933.655322	20839.454272
-150193.075183	85808.91195	20840.651896
-150193.075183	100684.168578	20838.508199
-150193.075183	115559.425206	20834.460698
-150193.075183	130434.681834	20825.065002
-150193.075183	145309.938462	20871.923237
-150193.075183	160185.19509	20850.05557
-150193.075183	175060.451718	20843.382132
-150193.075183	189935.708346	20838.099583
-150193.075183	204810.964974	20857.618021
-150193.075183	219686.221602	20847.959116
-150193.075183	234561.47823	20849.389269
-150193.075183	249436.734857	20841.928666
-150193.075183	264311.991485	20847.038812
-150193.075183	279187.248113	20849.461053
-150193.075183	294062.504741	20871.383325
-135511.615811	-300947.760376	20919.137943
-135511.615811	-286072.503748	20852.999318
-135511.615811	-271197.24712	20861.101068
-135511.615811	-256321.990492	20854.881033
-135511.615811	-241446.733864	20856.683605
-135511.615811	-226571.477236	20861.842832
-135511.615811	-211696.220608	20861.055051
-135511.615811	-196820.96398	20856.459663
-135511.615811	-181945.707353	20859.524891
-135511.615811	-167070.450725	20867.192257
-135511.615811	-152195.194097	20872.319582
-135511.615811	-137319.937469	20893.112336
-135511.615811	-122444.680841	20888.297916
-135511.615811	-107569.424213	20885.287905
-135511.615811	-92694.167585	20898.698583
-135511.615811	-77818.910957	20887.585602
-135511.615811	-62943.654329	20885.91678
-135511.615811	-48068.397701	20879.689385
-135511.615811	-33193.141073	20868.927953
-135511.615811	-18317.884445	20866.578107
-135511.615811	-3442.627817	20873.065029
-135511.615811	11432.628811	20873.889622
-135511.615811	26307.885438	20864.990275
-135511.615811	41183.142066	20866.886717
-135511.615811	56058.398694	20860.226777
-135511.615811	70933.655322	20854.674885
-135511.615811	85808.91195	20848.855493
-135511.615811	100684.168578	20859.083146
-135511.615811	115559.425206	20868.501544
-135511.615811	130434.681834	20848.993538
-135511.615811	145309.938462	20878.770307
-135511.615811	160185.19509	20856.267627
-135511.615811	175060.451718	20858.753677
-135511.615811	189935.708346	20870.682667
-135511.615811	204810.964974	20869.037775
-135511.615811	219686.221602	20872.191353
-135511.615811	234561.47823	20859.802824
-135511.615811	249436.734857	20863.587115
-135511.615811	264311.991485	20855.531382
-135511.615811	279187.248113	20877.256097
-135511.615811	294062.504741	20866.157833
-120830.156439	-300947.760376	20932.564572
-120830.156439	-286072.503748	20853.30179
-120830.156439	-271197.24712	20876.151732
-120830.156439	-256321.990492	20875.567645
-120830.156439	-241446.733864	20864.982911
-120830.156439	-226571.477236	20863.399375
-120830.156439	-211696.220608	20884.409935
-120830.156439	-196820.96398	20869.866662
-120830.156439	-181945.707353	20875.148597
-120830.156439	-167070.450725	20883.138071
-120830.156439	-152195.194097	20867.619279
-120830.156439	-137319.937469	20872.561929
-120830.156439	-122444.680841	20886.889238
-120830.156439	-107569.424213	20770.697078
-120830.156439	-92694.167585	20799.93884
-120830.156439	-77818.910957	20898.748897
-120830.156439	-62943.654329	20885.096483
-120830.156439	-48068.397701	20884.040584
-120830.156439	-33193.141073	20875.170073
-120830.156439	-18317.884445	20895.546235
-120830.156439	-3442.627817	20897.900373
-120830.156439	11432.628811	20887.441415
-120830.156439	26307.885438	20879.067261
-120830.156439	41183.142066	20870.488788
-120830.156439	56058.398694	20858.969027
-120830.156439	70933.655322	20864.647308
-120830.156439	85808.91195	20881.683991
-120830.156439	100684.168578	20880.04953
-120830.156439	115559.425206	20872.241049
-120830.156439	130434.681834	20871.29743
-120830.156439	145309.938462	20749.432517
-120830.156439	160185.19509	20829.40025
-120830.156439	175060.451718	20884.601971
-120830.156439	189935.708346	20889.3035
-120830.156439	204810.964974	20915.649373
-120830.156439	219686.221602	20879.734784
-120830.156439	234561.47823	20893.776182
-120830.156439	249436.734857	20884.914263
-120830.156439	264311.991485	20879.91271
-120830.156439	279187.248113	20876.173819
-120830.156439	294062.504741	20897.818775
-106148.697067	-300947.760376	20942.590373
-106148.697067	-286072.503748	20868.380066
-106148.697067	-271197.24712	20881.931862
-106148.697067	-256321.990492	20876.2364
-106148.697067	-241446.733864	20871.061218
-106148.697067	-226571.477236	20871.336083
-106148.697067	-211696.220608	20873.948522
-106148.697067	-196820.96398	20883.072426
-106148.697067	-181945.707353	20874.498864
-106148.697067	-167070.450725	20878.066579
-106148.697067	-152195.194097	20879.058669
-106148.697067	-137319.937469	20875.334501
-106148.697067	-122444.680841	20883.101874
-106148.697067	-107569.424213	20842.604782
-106148.697067	-92694.167585	20855.015399
-106148.697067	-77818.910957	20894.090313
-106148.697067	-62943.654329	20888.094833
-106148.697067	-48068.397701	20896.980681
-106148.697067	-33193.141073	20899.685155
-106148.697067	-18317.884445	20887.461052
-106148.697067	-3442.627817	20891.180925
-106148.697067	11432.628811	20896.578817
-106148.697067	26307.885438	20894.078044
-106148.697067	41183.142066	20875.798336
-106148.697067	56058.398694	20870.196744
-106148.697067	70933.655322	20882.976098
-106148.697067	85808.91195	20966.080232
-106148.697067	100684.168578	20896.372056
-106148.697067	115559.425206	20892.392045
-106148.697067	130434.681834	20878.144498
-106148.697067	145309.938462	20827.430799
-106148.697067	160185.19509	20861.067322
-106148.697067	175060.451718	20881.516502
-106148.697067	189935.708346	20886.203915
-106148.697067	204810.964974	20896.621761
-106148.697067	219686.221602	20883.799465
-106148.697067	234561.47823	20882.60307
-106148.697067	249436.734857	20885.434541
-106148.697067	264311.991485	20874.308054
-106148.697067	279187.248113	20874.059571
-106148.697067	294062.504741	20886.915004
-91467.237695	-300947.760376	20935.785639
-91467.237695	-286072.503748	20853.420202
-91467.237695	-271197.24712	20863.250286
-91467.237695	-256321.990492	20863.202431
-91467.237695	-241446.733864	20858.16959
-91467.237695	-226571.477236	20855.30376
-91467.237695	-211696.220608	20852.948394
-91467.237695	-196820.96398	20851.85814
-91467.237695	-181945.707353	20846.38294
-91467.237695	-167070.450725	20848.684317
-91467.237695	-152195.194097	20850.961149
-91467.237695	-137319.937469	20853.159449
-91467.237695	-122444.680841	20847.759102
-91467.237695	-107569.424213	20858.503353
-91467.237695	-92694.167585	20864.362626
-91467.237695	-77818.910957	20855.606234
-91467.237695	-62943.654329	20847.850521
-91467.237695	-48068.397701	20862.751481
-91467.237695	-33193.141073	20870.471611
-91467.237695	-18317.884445	20868.318711
-91467.237695	-3442.627817	20859.954366
-91467.237695	11432.628811	20873.922753
-91467.237695	26307.885438	20861.063028
-91467.237695	41183.142066	20856.519176
-91467.237695	56058.398694	20858.569614
-91467.237695	70933.655322	20870.466701
-91467.237695	85808.91195	20882.214086
-91467.237695	100684.168578	20883.782898
-91467.237695	115559.425206	20875.390945
-91467.237695	130434.681834	20867.681859
-91467.237695	145309.938462	20891.649663
-91467.237695	160185.19509	20862.098064
-91467.237695	175060.451718	20877.314999
-91467.237695	189935.708346	20887.222387
-91467.237695	204810.964974	20884.381713
-91467.237695	219686.221602	20875.541262
-91467.237695	234561.47823	20867.651183
-91467.237695	249436.734857	20859.50894
-91467.237695	264311.991485	20858.456109
-91467.237695	279187.248113	20869.824329
-91467.237695	294062.504741	20864.411711
-76785.778323	-300947.760376	20940.063831
-76785.778323	-286072.503748	20856.636362
-76785.778323	-271197.24712	20873.605553
-76785.778323	-256321.990492	20866.128997
-76785.778323	-241446.733864	20854.509844
-76785.778323	-226571.477236	20847.130841
-76785.778323	-211696.220608	20858.441388
-76785.778323	-196820.96398	20855.93877
-76785.778323	-181945.707353	20852.483947
-76785.778323	-167070.450725	20857.79656
-76785.778323	-152195.194097	20854.704334
-76785.778323	-137319.937469	20859.487466
-76785.778323	-122444.680841	20865.09519
-76785.778323	-107569.424213	20869.562962
-76785.778323	-92694.167585	20872.639849
-76785.778323	-77818.910957	20873.942385
-76785.778323	-62943.654329	20863.469317
-76785.778323	-48068.397701	20886.114338
-76785.778323	-33193.141073	20903.073715
-76785.778323	-18317.884445	20882.491407
-76785.778323	-3442.627817	20893.4099
-76785.778323	11432.628811	20878.853747
-76785.778323	26307.885438	20882.808605
-76785.778323	41183.142066	20886.146858
-76785.778323	56058.398694	20875.93822
-76785.778323	70933.655322	20864.373671
-76785.778323	85808.91195	20894.88055
-76785.778323	100684.168578	20894.944971
-76785.778323	115559.425206	20871.240983
-76785.778323	130434.681834	20866.436381
-76785.778323	145309.938462	20886.980652
-76785.778323	160185.19509	20868.499704
-76785.778323	175060.451718	20857.893498
-76785.778323	189935.708346	20874.176758
-76785.778323	204810.964974	20885.842541
-76785.778323	219686.221602	20855.424627
-76785.778323	234561.47823	20856.243698
-76785.778323	249436.734857	20852.182088
-76785.778323	264311.991485	20858.651828
-76785.778323	279187.248113	20858.56164
-76785.778323	294062.504741	20875.996507
-62104.318952	-300947.760376	20940.038677
-62104.318952	-286072.503748	20873.538066
-62104.318952	-271197.24712	20879.105911
-62104.318952	-256321.990492	20875.769498
-62104.318952	-241446.733864	20863.243536
-62104.318952	-226571.477236	20860.158061
-62104.318952	-211696.220608	20854.130679
-62104.318952	-196820.96398	20869.073973
-62104.318952	-181945.707353	20857.956693
-62104.318952	-167070.450725	20858.807668
-62104.318952	-152195.194097	20865.932055
-62104.318952	-137319.937469	20876.901475
-62104.318952	-122444.680841	20878.261685
-62104.318952	-107569.424213	20887.751868
-62104.318952	-92694.167585	20886.83156
-62104.318952	-77818.910957	20867.875737
-62104.318952	-62943.654329	20875.681761
-62104.318952	-48068.397701	20896.686183
-62104.318952	-33193.141073	20917.649499
-62104.318952	-18317.884445	20891.968706
-62104.318952	-3442.627817	20887.357977
-62104.318952	11432.628811	20898.664227
-62104.318952	26307.885438	20900.830624
-62104.318952	41183.142066	20874.998895
-62104.318952	56058.398694	20868.424853
-62104.318952	70933.655322	20863.66565
-62104.318952	85808.91195	20918.414583
-62104.318952	100684.168578	20937.217023
-62104.318952	115559.425206	20866.886103
-62104.318952	130434.681834	20870.33479
-62104.318952	145309.938462	20881.490113
-62104.318952	160185.19509	20861.603555
-62104.318952	175060.451718	20855.111724
-62104.318952	189935.708346	20852.707275
-62104.318952	204810.964974	20859.65619
-62104.318952	219686.221602	20860.158675
-62104.318952	234561.47823	20849.734078
-62104.318952	249436.734857	20850.337796
-62104.318952	264311.991485	20849.469642
-62104.318952	279187.248113	20859.751899
-62104.318952	294062.504741	20864.236238
-47422.85958	-300947.760376	20937.530538
-47422.85958	-286072.503748	20872.014653
-47422.85958	-271197.24712	20893.492729
-47422.85958	-256321.990492	20885.070709
-47422.85958	-241446.733864	20887.61566
-47422.85958	-226571.477236	20874.816676
-47422.85958	-211696.220608	20865.01727
-47422.85958	-196820.96398	20864.67553
-47422.85958	-181945.707353	20860.534159
-47422.85958	-167070.450725	20869.973417
-47422.85958	-152195.194097	20859.250028
-47422.85958	-137319.937469	20881.75516
-47422.85958	-122444.680841	20875.436347
-47422.85958	-107569.424213	20886.386135
-47422.85958	-92694.167585	20890.083921
-47422.85958	-77818.910957	20875.253514
-47422.85958	-62943.654329	20873.591441
-47422.85958	-48068.397701	20902.169974
-47422.85958	-33193.141073	20910.361916
-47422.85958	-18317.884445	20911.520885
-47422.85958	-3442.627817	20904.925364
-47422.85958	11432.628811	20902.663254
-47422.85958	26307.885438	20910.997538
-47422.85958	41183.142066	20880.656319
-47422.85958	56058.398694	20880.667363
-47422.85958	70933.655322	20864.247895
-47422.85958	85808.91195	20878.275181
-47422.85958	100684.168578	20939.166839
-47422.85958	115559.425206	20901.992663
-47422.85958	130434.681834	20878.071488
-47422.85958	145309.938462	20898.21573
-47422.85958	160185.19509	20867.774504
-47422.85958	175060.451718	20869.94397
-47422.85958	189935.708346	20865.167588
-47422.85958	204810.964974	20860.002223
-47422.85958	219686.221602	20870.139073
-47422.85958	234561.47823	20859.940256
-47422.85958	249436.734857	20854.833179
-47422.85958	264311.991485	20849.521793
-47422.85958	279187.248113	20863.787743
-47422.85958	294062.504741	20853.927598
-32741.400208	-300947.760376	20907.701618
-32741.400208	-286072.503748	20769.558353
-32741.400208	-271197.24712	20808.966417
-32741.400208	-256321.990492	20781.683676
-32741.400208	-241446.733864	20799.571332
-32741.400208	-226571.477236	20783.296663
-32741.400208	-211696.220608	20851.232334
-32741.400208	-196820.96398	20847.070715
-32741.400208	-181945.707353	20864.459567
-32741.400208	-167070.450725	20858.70398
-32741.400208	-152195.194097	20844.407966
-32741.400208	-137319.937469	20839.376966
-32741.400208	-122444.680841	20862.455141
-32741.400208	-107569.424213	20869.616955
-32741.400208	-92694.167585	20868.555536
-32741.400208	-77818.910957	20866.872606
-32741.400208	-62943.654329	20858.915651
-32741.400208	-48068.397701	20880.858781
-32741.400208	-33193.141073	20802.004006
-32741.400208	-18317.884445	20785.558772
-32741.400208	-3442.627817	20792.450015
-32741.400208	11432.628811	20779.620352
-32741.400208	26307.885438	20784.437228
-32741.400208	41183.142066	20854.231299
-32741.400208	56058.398694	20866.256001
-32741.400208	70933.655322	20848.403315
-32741.400208	85808.91195	20869.473386
-32741.400208	100684.168578	20928.555725
-32741.400208	115559.425206	20918.963085
-32741.400208	130434.681834	20863.453367
-32741.400208	145309.938462	20888.624315
-32741.400208	160185.19509	20854.69636
-32741.400208	175060.451718	20838.587959
-32741.400208	189935.708346	20832.078952
-32741.400208	204810.964974	20843.918978
-32741.400208	219686.221602	20788.426441
-32741.400208	234561.47823	20734.976982
-32741.400208	249436.734857	20720.777293
-32741.400208	264311.991485	20739.916564
-32741.400208	279187.248113	20726.386857
-32741.400208	294062.504741	20788.955309
-18059.940836	-211696.220608	20827.215448
-18059.940836	-196820.96398	20826.495767
-18059.940836	-181945.707353	20843.528768
-18059.940836	-167070.450725	20844.130035
-18059.940836	-152195.194097	20815.91042
-18059.940836	-137319.937469	20821.977685
-18059.940836	-122444.680841	20836.768211
-18059.940836	-107569.424213	20846.218511
-18059.940836	-92694.167585	20854.801275
-18059.940836	-77818.910957	20849.910776
-18059.940836	-62943.654329	20849.459825
-18059.940836	-48068.397701	20851.717027
-18059.940836	41183.142066	20781.976945
-18059.940836	56058.398694	20854.23989
-18059.940836	70933.655322	20840.541459
-18059.940836	85808.91195	20842.859401
-18059.940836	100684.168578	20884.536937
-18059.940836	115559.425206	20912.430763
-18059.940836	130434.681834	20848.299628
-18059.940836	145309.938462	20865.941256
-18059.940836	160185.19509	20832.414554
-18059.940836	175060.451718	20829.137657
-18059.940836	189935.708346	20802.332247
-18059.940836	204810.964974	20817.632005
-18059.940836	294062.504741	20482.176014
-3378.481464	-211696.220608	20813.575304
-3378.481464	-196820.96398	20815.360694
-3378.481464	-181945.707353	20808.216062
